seed,n_dealers,risk_factor,reluctance,volume_share,mean_faced_spread,max_dealer_net,mean_dealer_net
0,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
1,1,0.0,0.0,0.75,0.040000000000000036,5.0,5.0
2,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
3,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
4,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
5,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
6,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
7,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
8,1,0.0,0.0,0.8333333333333334,0.040000000000000036,4.0,4.0
9,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
10,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
11,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
12,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
13,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
14,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
15,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
16,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
17,1,0.0,0.0,0.8333333333333334,0.040000000000000036,4.0,4.0
18,1,0.0,0.0,0.8333333333333334,0.040000000000000036,4.0,4.0
19,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
20,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
21,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
22,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
23,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
24,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
25,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
26,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
27,1,0.0,0.0,0.9166666666666666,0.040000000000000036,3.0,3.0
28,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
29,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
30,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
31,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
32,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
33,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
34,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
35,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
36,1,0.0,0.0,0.9166666666666666,0.040000000000000036,3.0,3.0
37,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
38,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
39,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
40,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
41,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
42,1,0.0,0.0,0.9166666666666666,0.040000000000000036,3.0,3.0
43,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
44,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
45,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
46,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
47,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
48,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
49,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
0,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
1,1,0.05,0.0,0.75,0.13090909090909092,5.0,5.0
2,1,0.05,0.0,0.8333333333333334,0.08583333333333337,2.0,2.0
3,1,0.05,0.0,0.9166666666666666,0.11500000000000005,5.0,5.0
4,1,0.05,0.0,0.75,0.09833333333333336,3.0,3.0
5,1,0.05,0.0,0.9166666666666666,0.10250000000000002,5.0,5.0
6,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
7,1,0.05,0.0,0.9166666666666666,0.09000000000000004,3.0,3.0
8,1,0.05,0.0,0.8333333333333334,0.08500000000000002,4.0,4.0
9,1,0.05,0.0,0.9166666666666666,0.09000000000000004,3.0,3.0
10,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
11,1,0.05,0.0,0.75,0.09833333333333336,3.0,3.0
12,1,0.05,0.0,0.8333333333333334,0.08583333333333337,2.0,2.0
13,1,0.05,0.0,0.8333333333333334,0.08583333333333337,2.0,2.0
14,1,0.05,0.0,0.9166666666666666,0.08166666666666669,1.0,1.0
15,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
16,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
17,1,0.05,0.0,0.8333333333333334,0.08500000000000002,4.0,4.0
18,1,0.05,0.0,0.8333333333333334,0.08500000000000002,4.0,4.0
19,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
20,1,0.05,0.0,0.8333333333333334,0.11083333333333335,4.0,4.0
21,1,0.05,0.0,1.0,0.09000000000000004,4.0,4.0
22,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
23,1,0.05,0.0,1.0,0.07333333333333335,2.0,2.0
24,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
25,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
26,1,0.05,0.0,1.0,0.09000000000000004,4.0,4.0
27,1,0.05,0.0,0.9166666666666666,0.07181818181818184,3.0,3.0
28,1,0.05,0.0,0.9166666666666666,0.09000000000000004,3.0,3.0
29,1,0.05,0.0,0.75,0.1358333333333334,5.0,5.0
30,1,0.05,0.0,0.9166666666666666,0.11500000000000005,5.0,5.0
31,1,0.05,0.0,0.8333333333333334,0.08583333333333336,2.0,2.0
32,1,0.05,0.0,0.9166666666666666,0.08166666666666669,1.0,1.0
33,1,0.05,0.0,0.8333333333333334,0.11083333333333335,4.0,4.0
34,1,0.05,0.0,1.0,0.07333333333333335,2.0,2.0
35,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
36,1,0.05,0.0,0.8333333333333334,0.07750000000000001,2.0,2.0
37,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
38,1,0.05,0.0,0.8333333333333334,0.08583333333333336,2.0,2.0
39,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
40,1,0.05,0.0,0.9166666666666666,0.11500000000000005,5.0,5.0
41,1,0.05,0.0,0.8333333333333334,0.08583333333333337,2.0,2.0
42,1,0.05,0.0,0.9166666666666666,0.07181818181818184,3.0,3.0
43,1,0.05,0.0,0.8333333333333334,0.08583333333333336,2.0,2.0
44,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
45,1,0.05,0.0,0.8333333333333334,0.11083333333333335,4.0,4.0
46,1,0.05,0.0,0.9166666666666666,0.08166666666666669,1.0,1.0
47,1,0.05,0.0,0.75,0.09000000000000004,3.0,3.0
48,1,0.05,0.0,0.9166666666666666,0.0816666666666667,1.0,1.0
49,1,0.05,0.0,1.0,0.06500000000000002,2.0,2.0
0,1,0.1,0.0,0.5833333333333334,0.1566666666666667,3.0,3.0
1,1,0.1,0.0,0.5833333333333334,0.20666666666666672,3.0,3.0
2,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
3,1,0.1,0.0,0.75,0.16500000000000006,3.0,3.0
4,1,0.1,0.0,0.5,0.14833333333333337,2.0,2.0
5,1,0.1,0.0,0.75,0.1566666666666667,3.0,3.0
6,1,0.1,0.0,0.75,0.14833333333333337,3.0,3.0
7,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
8,1,0.1,0.0,0.75,0.16500000000000004,3.0,3.0
9,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
10,1,0.1,0.0,0.75,0.14833333333333337,3.0,3.0
11,1,0.1,0.0,0.6666666666666666,0.14000000000000004,2.0,2.0
12,1,0.1,0.0,0.6666666666666666,0.14000000000000004,2.0,2.0
13,1,0.1,0.0,0.75,0.14833333333333337,3.0,3.0
14,1,0.1,0.0,0.9166666666666666,0.1066666666666667,1.0,1.0
15,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
16,1,0.1,0.0,0.75,0.14833333333333337,3.0,3.0
17,1,0.1,0.0,0.75,0.16500000000000004,3.0,3.0
18,1,0.1,0.0,0.75,0.16500000000000004,3.0,3.0
19,1,0.1,0.0,1.0,0.12333333333333338,0.0,0.0
20,1,0.1,0.0,0.75,0.16500000000000006,3.0,3.0
21,1,0.1,0.0,0.75,0.1566666666666667,3.0,3.0
22,1,0.1,0.0,0.9166666666666666,0.12333333333333338,1.0,1.0
23,1,0.1,0.0,0.9166666666666666,0.1066666666666667,1.0,1.0
24,1,0.1,0.0,0.6666666666666666,0.14000000000000004,2.0,2.0
25,1,0.1,0.0,1.0,0.12333333333333338,0.0,0.0
26,1,0.1,0.0,0.9166666666666666,0.14000000000000004,3.0,3.0
27,1,0.1,0.0,0.9166666666666666,0.10363636363636367,3.0,3.0
28,1,0.1,0.0,0.75,0.1566666666666667,3.0,3.0
29,1,0.1,0.0,0.5833333333333334,0.19000000000000006,3.0,3.0
30,1,0.1,0.0,0.6666666666666666,0.21500000000000002,4.0,4.0
31,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
32,1,0.1,0.0,0.6666666666666666,0.14000000000000004,2.0,2.0
33,1,0.1,0.0,0.75,0.16500000000000006,3.0,3.0
34,1,0.1,0.0,0.6666666666666666,0.14000000000000004,2.0,2.0
35,1,0.1,0.0,0.75,0.14833333333333337,3.0,3.0
36,1,0.1,0.0,0.75,0.09833333333333337,1.0,1.0
37,1,0.1,0.0,1.0,0.1066666666666667,0.0,0.0
38,1,0.1,0.0,0.75,0.11500000000000005,1.0,1.0
39,1,0.1,0.0,0.9166666666666666,0.1066666666666667,1.0,1.0
40,1,0.1,0.0,0.75,0.16500000000000006,3.0,3.0
41,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
42,1,0.1,0.0,0.8333333333333334,0.11500000000000003,2.0,2.0
43,1,0.1,0.0,0.75,0.11500000000000005,1.0,1.0
44,1,0.1,0.0,1.0,0.12333333333333338,0.0,0.0
45,1,0.1,0.0,0.75,0.16500000000000006,3.0,3.0
46,1,0.1,0.0,0.9166666666666666,0.1066666666666667,1.0,1.0
47,1,0.1,0.0,0.6666666666666666,0.14000000000000004,2.0,2.0
48,1,0.1,0.0,0.75,0.11500000000000006,1.0,1.0
49,1,0.1,0.0,1.0,0.09000000000000004,2.0,2.0
0,1,0.2,0.0,0.3333333333333333,0.2733333333333333,2.0,2.0
1,1,0.2,0.0,0.16666666666666666,0.35666666666666663,2.0,2.0
2,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
3,1,0.2,0.0,0.5,0.2733333333333333,2.0,2.0
4,1,0.2,0.0,0.4166666666666667,0.19,1.0,1.0
5,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
6,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
7,1,0.2,0.0,0.5,0.25666666666666665,2.0,2.0
8,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
9,1,0.2,0.0,0.5833333333333334,0.17333333333333334,1.0,1.0
10,1,0.2,0.0,0.5,0.24,2.0,2.0
11,1,0.2,0.0,0.25,0.20666666666666667,1.0,1.0
12,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
13,1,0.2,0.0,0.5,0.24,2.0,2.0
14,1,0.2,0.0,0.5833333333333334,0.17333333333333334,1.0,1.0
15,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
16,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
17,1,0.2,0.0,0.5833333333333334,0.17333333333333334,1.0,1.0
18,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
19,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
20,1,0.2,0.0,0.5,0.2733333333333333,2.0,2.0
21,1,0.2,0.0,0.5,0.25666666666666665,2.0,2.0
22,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
23,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
24,1,0.2,0.0,0.3333333333333333,0.25666666666666665,2.0,2.0
25,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
26,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
27,1,0.2,0.0,0.5833333333333334,0.17333333333333334,1.0,1.0
28,1,0.2,0.0,0.5,0.25666666666666665,2.0,2.0
29,1,0.2,0.0,0.3333333333333333,0.30666666666666664,2.0,2.0
30,1,0.2,0.0,0.5,0.2733333333333333,2.0,2.0
31,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
32,1,0.2,0.0,0.25,0.20666666666666667,1.0,1.0
33,1,0.2,0.0,0.3333333333333333,0.30666666666666664,2.0,2.0
34,1,0.2,0.0,0.4166666666666667,0.19,1.0,1.0
35,1,0.2,0.0,0.3333333333333333,0.2733333333333333,2.0,2.0
36,1,0.2,0.0,0.5833333333333334,0.17333333333333334,1.0,1.0
37,1,0.2,0.0,0.75,0.15666666666666668,1.0,1.0
38,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
39,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
40,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
41,1,0.2,0.0,0.75,0.15666666666666668,1.0,1.0
42,1,0.2,0.0,0.5833333333333334,0.17333333333333334,1.0,1.0
43,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
44,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
45,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
46,1,0.2,0.0,0.5,0.22333333333333333,2.0,2.0
47,1,0.2,0.0,0.5833333333333334,0.17333333333333334,1.0,1.0
48,1,0.2,0.0,0.6666666666666666,0.24,2.0,2.0
49,1,0.2,0.0,0.75,0.15666666666666668,1.0,1.0
0,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
1,2,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
2,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
3,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
4,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
5,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
6,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
7,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
8,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
9,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
10,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
11,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
12,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
13,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
14,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
15,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
16,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
17,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
18,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
19,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
20,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
21,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
22,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
23,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
24,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
25,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
26,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
27,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
28,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
29,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
30,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
31,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
32,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
33,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
34,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
35,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
36,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
37,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
38,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
39,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
40,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
41,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
42,2,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
43,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
44,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
45,2,0.0,0.0,1.0,0.040000000000000036,3.0,3.0
46,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
47,2,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
48,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
49,2,0.0,0.0,1.0,0.040000000000000036,1.0,1.0
0,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
1,2,0.05,0.0,0.8333333333333334,0.09833333333333337,3.0,3.0
2,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
3,2,0.05,0.0,1.0,0.07750000000000005,3.0,3.0
4,2,0.05,0.0,0.8333333333333334,0.07333333333333338,2.0,2.0
5,2,0.05,0.0,0.9166666666666666,0.07333333333333338,3.0,2.5
6,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
7,2,0.05,0.0,1.0,0.06500000000000004,2.0,2.0
8,2,0.05,0.0,0.8333333333333334,0.07750000000000003,2.0,2.0
9,2,0.05,0.0,1.0,0.06500000000000004,2.0,2.0
10,2,0.05,0.0,0.9166666666666666,0.06500000000000003,2.0,1.5
11,2,0.05,0.0,1.0,0.06500000000000004,2.0,2.0
12,2,0.05,0.0,0.9166666666666666,0.06500000000000003,2.0,1.5
13,2,0.05,0.0,0.9166666666666666,0.06500000000000003,2.0,1.5
14,2,0.05,0.0,1.0,0.06500000000000002,0.0,0.0
15,2,0.05,0.0,1.0,0.06500000000000002,0.0,0.0
16,2,0.05,0.0,0.9166666666666666,0.06500000000000003,2.0,1.5
17,2,0.05,0.0,1.0,0.07750000000000003,3.0,3.0
18,2,0.05,0.0,0.8333333333333334,0.07750000000000003,2.0,2.0
19,2,0.05,0.0,1.0,0.06500000000000002,0.0,0.0
20,2,0.05,0.0,0.9166666666666666,0.07750000000000005,3.0,2.5
21,2,0.05,0.0,1.0,0.06500000000000004,2.0,2.0
22,2,0.05,0.0,1.0,0.06500000000000002,0.0,0.0
23,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
24,2,0.05,0.0,1.0,0.06500000000000002,0.0,0.0
25,2,0.05,0.0,1.0,0.06500000000000002,0.0,0.0
26,2,0.05,0.0,1.0,0.06500000000000004,2.0,2.0
27,2,0.05,0.0,1.0,0.06500000000000002,2.0,2.0
28,2,0.05,0.0,1.0,0.06500000000000004,2.0,2.0
29,2,0.05,0.0,0.8333333333333334,0.09000000000000005,3.0,3.0
30,2,0.05,0.0,1.0,0.07750000000000005,3.0,3.0
31,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
32,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
33,2,0.05,0.0,0.9166666666666666,0.07750000000000005,3.0,2.5
34,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
35,2,0.05,0.0,0.9166666666666666,0.06500000000000003,2.0,1.5
36,2,0.05,0.0,0.9166666666666666,0.06500000000000002,2.0,1.5
37,2,0.05,0.0,1.0,0.06500000000000002,0.0,0.0
38,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
39,2,0.05,0.0,1.0,0.06500000000000002,0.0,0.0
40,2,0.05,0.0,1.0,0.07750000000000005,3.0,3.0
41,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
42,2,0.05,0.0,0.9166666666666666,0.06500000000000002,2.0,1.5
43,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
44,2,0.05,0.0,1.0,0.06500000000000002,0.0,0.0
45,2,0.05,0.0,0.9166666666666666,0.07750000000000005,3.0,2.5
46,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
47,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
48,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
49,2,0.05,0.0,1.0,0.06083333333333336,1.0,1.0
0,2,0.1,0.0,0.8333333333333334,0.0983333333333334,2.0,2.0
1,2,0.1,0.0,0.8333333333333334,0.1566666666666667,3.0,3.0
2,2,0.1,0.0,0.9166666666666666,0.09000000000000005,2.0,1.5
3,2,0.1,0.0,0.9166666666666666,0.11500000000000006,3.0,2.5
4,2,0.1,0.0,0.6666666666666666,0.12333333333333339,2.0,2.0
