seed,neg_fill,list_fill,neg_rate,list_rate,neg_share,list_share,neg_welfare,list_welfare
0,0.5275,0.3675,3.812339381250727,3.280342741182997,0.6283483201654498,0.6139550211063213,1.0,0.9225630691516221
1,0.515,0.36,3.7076328387353468,3.5266602500527218,0.6406542422529354,0.5557757194785645,1.0,0.9265861366691419
2,0.5375,0.375,3.8106688111656584,3.5832966130750044,0.6422602940851933,0.5923997464278847,1.0,0.9195607835278239
3,0.5,0.3325,3.591109785189433,3.40996076522192,0.6359709542342914,0.5635720839312091,1.0,0.9074376633223005
4,0.505,0.3525,3.7386048525144906,3.4808184266771165,0.6460470216948907,0.5715931811331105,1.0,0.9319827470748456
5,0.51,0.3325,3.5794581835228234,3.445125165072237,0.6507055657341205,0.5837758038763524,1.0,0.9059024431386007
6,0.4625,0.32,3.7408874128179512,3.5811269828395806,0.6449767128833819,0.5732098549394182,1.0,0.9273352319543514
7,0.5575,0.395,3.6704474667663756,3.3805402546376158,0.6347902122924556,0.6154914075757385,1.0,0.9349526076438194
8,0.4575,0.3125,3.591704228771849,3.488151895730365,0.6583686358405684,0.5721660695215515,1.0,0.911814345229691
9,0.53,0.365,3.7057045264558424,3.489988786060547,0.6435185660137003,0.5802612250710505,1.0,0.9186954992926653
10,0.4825,0.3275,3.537199401912446,3.311170791854923,0.6434841896073459,0.6017147088462343,1.0,0.9394583871981783
11,0.52,0.37,3.823544054235375,3.5781804870510534,0.6357917893049102,0.588609055666591,1.0,0.9361665372980296
12,0.495,0.285,3.5983953219934564,3.2769752028867933,0.6379814127292712,0.5918950873760458,1.0,0.8796923685094934
13,0.505,0.315,3.802688288022556,3.4201087021264467,0.6319341258973131,0.5964294133787462,1.0,0.9110188067481336
14,0.5,0.34,3.6765706177953734,3.492730894770247,0.6466338759779472,0.5696326456501535,1.0,0.9218696673847437
15,0.5625,0.395,3.72646502684168,3.356341716097227,0.6265351737738805,0.6165185539064861,1.0,0.9261569469878607
16,0.46,0.345,3.7171065253406286,3.40970316880862,0.6415316643248329,0.5896246563135759,1.0,0.9461823195837842
17,0.48,0.3075,3.641897017159169,3.4178425081185253,0.6430799279324665,0.5445811727147378,1.0,0.8937393222900696
18,0.4625,0.3125,3.6881483578436094,3.4165702345732765,0.6368811615668527,0.5897523171462049,1.0,0.9243067206805019
19,0.5025,0.305,3.832683257327711,3.4476306061742585,0.6402466310911107,0.6003229063478153,1.0,0.9055965874910984
20,0.5225,0.3525,3.768120660781847,3.441950962583903,0.6415789187960937,0.6052152786500457,1.0,0.9085271778391468
21,0.535,0.38,3.615794506160193,3.3302832223120284,0.6405277380332376,0.602401815248938,1.0,0.9357561784934537
22,0.4525,0.3075,3.8662001891729805,3.5164422918464897,0.6331292317528755,0.6208466766983314,1.0,0.9339055459633999
23,0.515,0.35,3.727450627194432,3.3593253908022245,0.6399919226871806,0.5824020999726239,1.0,0.9223016591513914
24,0.52,0.37,3.6742324498157606,3.325558753460863,0.6305802417578511,0.5820725432967969,1.0,0.9304809331183032
25,0.53,0.3525,3.558423638624565,3.2816011747848006,0.6435355942965103,0.5681165449487425,1.0,0.904856709954103
26,0.5,0.34,3.7535549947891824,3.5398541334268594,0.646841826402895,0.5511217025845793,1.0,0.9120571899369473
27,0.48,0.335,3.7065613775703574,3.4734329560714925,0.6561793635036798,0.5753032740640792,1.0,0.9162011852648235
28,0.4875,0.29,3.7499805921918328,3.44118673430022,0.6388706095654654,0.601700248995635,1.0,0.8826689378158312
29,0.5175,0.3675,3.7217480451942326,3.5515951208300174,0.6645463691920505,0.5636198006740911,1.0,0.9175754528748308
30,0.47,0.305,3.7730774451284432,3.384760535537649,0.6293456182785837,0.5983819470966617,1.0,0.9101073545484003
31,0.5275,0.36,3.7279832121139758,3.447688352489669,0.6479893165657661,0.582667345362308,1.0,0.9167198779114444
32,0.4775,0.33,3.7750775328907245,3.3633764246792275,0.6354710684009977,0.611542902210029,1.0,0.9223482447723512
33,0.46,0.3,3.837166505760163,3.738957122879844,0.6436923460627595,0.5804854437834038,1.0,0.904803375851378
34,0.5425,0.4075,3.8620642154699367,3.5997059187355362,0.6410920652921676,0.5924818026007609,1.0,0.9438528430563452
35,0.515,0.365,3.7540707899642944,3.613298444524147,0.6521309660189356,0.5534229197451295,1.0,0.9347130785843735
36,0.5125,0.3325,3.878173506734657,3.5765720869549513,0.6488153717547238,0.5762777096670084,1.0,0.902357696509198
37,0.52,0.3475,3.4693763861079185,3.252495393338756,0.645249114646769,0.5853240331103141,1.0,0.9213259403603693
38,0.525,0.37,3.6175101726404706,3.311083645643426,0.6323295591779962,0.5627057583581089,1.0,0.9168075130513701
39,0.515,0.37,3.583059499906251,3.321700098838676,0.6434471749502273,0.6002660305218758,1.0,0.933420482309114
40,0.4575,0.305,3.7020062144317936,3.5205127803064853,0.6540626514469967,0.5768795808379134,1.0,0.9076077620969212
41,0.515,0.3575,3.625301136836332,3.510358783041428,0.6502410683433277,0.5868530083865139,1.0,0.9294350677114818
42,0.475,0.33,3.7220038988886666,3.5748259721714226,0.6427813065535463,0.5685521566624416,1.0,0.9208038595582722
43,0.57,0.35,3.7494441505044533,3.379059078768133,0.623962521338412,0.6242078283248619,1.0,0.9138387582123799
44,0.525,0.345,3.709254810571986,3.4340711696935524,0.641430059847915,0.5922843709018184,1.0,0.9155467034228775
45,0.5225,0.33,3.687617800717161,3.38527717235569,0.6321637095580158,0.601667504813289,1.0,0.8957534757074209
46,0.4675,0.325,3.6015112731530543,3.333348589776123,0.6453602821710052,0.5645807510875162,1.0,0.9209108026391308
47,0.495,0.31,3.788051920379134,3.766148054690107,0.6672533505664133,0.5210078265144615,1.0,0.8951504156577261
48,0.535,0.3575,3.6286051974260927,3.5682419083774897,0.6448674021677487,0.5842046613194123,1.0,0.9261183697234617
49,0.5525,0.375,3.6598723013431678,3.49010605432218,0.6435170063418073,0.5920119133099238,1.0,0.921164004941386
50,0.505,0.3625,3.7008374459219286,3.3933689340123094,0.6328405735083026,0.58762276778827,1.0,0.9411995667797729
51,0.4925,0.3125,3.6196079318334404,3.2207088498506287,0.6414277721772387,0.5839361914132618,1.0,0.9058396266488252
52,0.515,0.3575,3.8209862451346006,3.3503956744266206,0.6124711864984396,0.6179806611150368,1.0,0.9387670282260626
53,0.5275,0.3225,3.788749106515496,3.483257634906768,0.6365934891757216,0.582762756008316,1.0,0.9024041792067811
54,0.4825,0.315,3.736963374436314,3.404555975689322,0.635273624396754,0.6039594070958093,1.0,0.9096212884419401
55,0.5075,0.3525,3.6938349756336977,3.263051515880219,0.6345819619718931,0.5820293057886909,1.0,0.9048800059339533
56,0.545,0.36,3.9171107943728027,3.689435234236782,0.6351565556448081,0.5807250392853189,1.0,0.9200066090459479
57,0.505,0.3275,3.685764927285785,3.3330497610155554,0.6353776493179972,0.5831889170005667,1.0,0.9164742916276012
58,0.4825,0.33,3.757424908022487,3.4471042492614683,0.6356309662406514,0.5943436547479872,1.0,0.915819386518119
59,0.5,0.345,3.7320083227639955,3.598439905664614,0.6450002058466461,0.5835877709813788,1.0,0.9329841149248903
60,0.48,0.33,3.7219639403650486,3.507226960038654,0.6534769835550843,0.5816215630342241,1.0,0.9225738308523879
61,0.4875,0.32,3.6832464071961533,3.2997892475839743,0.642278400383478,0.5972791224962419,1.0,0.8968671839990119
62,0.4725,0.305,3.6518434602696135,3.315925198409219,0.6454506196304667,0.5932661730235089,1.0,0.8833429960312698
63,0.4625,0.305,3.705048124303976,3.409131942477673,0.6433951000622706,0.5718749402033484,1.0,0.9086104528299908
64,0.5225,0.335,3.623737214848794,3.4944799714470918,0.6456116088917339,0.6050715529481235,1.0,0.9117397463422431
65,0.515,0.3325,3.632802853973114,3.3782345616162037,0.6485784532385613,0.5949453627578766,1.0,0.9273654144449514
66,0.5025,0.3425,3.615536619703402,3.354640690372013,0.6469778966970524,0.5927163094895929,1.0,0.9262601774905066
67,0.465,0.33,3.737620140519487,3.5178720144854596,0.6324347562187403,0.6037459333434035,1.0,0.9412258499380652
68,0.48,0.34,3.7393423151040404,3.5146255640759003,0.651176123101456,0.5883884259908249,1.0,0.9388079619647461
69,0.5525,0.3725,3.6604496075656754,3.3650424796389222,0.6370828081032779,0.5778141741707419,1.0,0.9177539986339208
70,0.4925,0.34,3.7275775362276327,3.426481335645071,0.6374646852629238,0.5797784486925914,1.0,0.9238031224868855
71,0.455,0.3175,3.9088873325393054,3.4392968843023133,0.632316815036168,0.5903945528453742,1.0,0.9227675401741232
72,0.5,0.3375,3.758441134379294,3.4779272202410656,0.6360901342270953,0.5840763453811431,1.0,0.9133562319567756
73,0.475,0.3325,3.6956145832449336,3.2897622661954955,0.6352840540222995,0.6240363610544277,1.0,0.9335004426486865
74,0.505,0.345,3.797661907136415,3.5356810000959387,0.6404859775600287,0.5967681055545657,1.0,0.9103441001187739
75,0.51,0.32,3.7608692952022764,3.5260758016228704,0.6435682657725537,0.5685756878798252,1.0,0.8986969806699953
76,0.51,0.37,3.726602857503814,3.461558575759902,0.6440667232641901,0.5833959845460198,1.0,0.9412506352225596
77,0.48,0.3275,3.906543089351906,3.5346119121514374,0.6373534897402658,0.5880967007339971,1.0,0.9071384294446457
78,0.47,0.305,3.7560311451443984,3.470157937323139,0.6361830582754762,0.5803650985257858,1.0,0.8993038560538742
79,0.495,0.3475,3.7536840659657282,3.4659199651150048,0.6480023361162385,0.5778867616637045,1.0,0.9275643689402985
80,0.4525,0.3025,3.6273036711879816,3.3823469334184133,0.6392397054781247,0.5850226352443649,1.0,0.9126060509232446
81,0.5125,0.385,3.7743208685777514,3.380308291209022,0.631484092622474,0.6290543951833901,1.0,0.9398652328882522
82,0.5375,0.3775,3.725630387692739,3.6570189276764995,0.6505538268105482,0.5500695864795956,1.0,0.9135163819786907
83,0.5125,0.3625,3.890453227624613,3.4300312882492188,0.6193621512861802,0.6431976484646653,1.0,0.9468091059630939
84,0.525,0.37,3.754335401519631,3.522618669530894,0.6389777283548572,0.5895205910451735,1.0,0.9354750922144002
85,0.525,0.375,3.7238376004623217,3.413130294938571,0.6437325594350339,0.5807267756280021,1.0,0.9273846773796504
86,0.505,0.3325,3.7652515524775483,3.5563343535330434,0.6467671544930087,0.6172324369439425,1.0,0.9128673667748509
87,0.505,0.37,3.8140509529806383,3.6098281966253465,0.6461468509211522,0.5802325232983809,1.0,0.9374371252594181
88,0.48,0.34,3.6248539774102686,3.2145448916920807,0.6371592323896853,0.5976644366687969,1.0,0.9354965926047343
89,0.505,0.3425,3.652838437133379,3.369416835891564,0.6352300941697459,0.592595760333201,1.0,0.9246733230764702
90,0.5275,0.34,3.8461919168425,3.4121623949452156,0.6455986225514868,0.5990950807159519,1.0,0.8955541141722047
91,0.5275,0.3475,3.813998579599959,3.425464755437523,0.642292797828399,0.6211414432581799,1.0,0.9215538439177884
92,0.49,0.3325,3.631688729756976,3.443279212810323,0.6450945067077811,0.6101073435114066,1.0,0.9199568645113155
93,0.5675,0.4,3.727462944834224,3.3248901291751847,0.6392432137139706,0.5918642895139324,1.0,0.9248770391797217
94,0.4975,0.3625,3.8447645080988258,3.4580948864013537,0.6341422877152703,0.6137542856756917,1.0,0.944977450482733
95,0.51,0.3525,3.559330303720684,3.366966918577475,0.6477808822284089,0.6000076056070739,1.0,0.9235671558762026
96,0.4725,0.34,3.855136092520667,3.428875326099154,0.6222551515346494,0.6214128787805563,1.0,0.9422076507073734
97,0.5125,0.375,3.6561740779287537,3.442732986251492,0.6445934970078175,0.586835769493297,1.0,0.9244583781938591
98,0.5225,0.355,3.8020067836009837,3.4797443503240126,0.636653524075424,0.5978426884130261,1.0,0.9228002166029329
99,0.5075,0.3475,3.571865190110089,3.3035930900287864,0.6501357109012134,0.5643715817799282,1.0,0.9161598733747556
