cell_index,cell_label,n_seeds,override_misreporting.fine_multiplier,override_misreporting.audit_probability,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,fine_multiplier=0.5_audit_probability=0.05,50,0.5,0.05,963.3321955491623,965.42064375,688.52,1270.644625,0.520660956358343,0.5269192371564704,0.4288126230648109,0.6091657136922872,68.54911206104671,68.698066696947,48.87535762162202,90.50689647458543,446.38884047131546,443.1591495125233,295.25121947384116,573.7857050171376,3.72,4.0,1.0,6.0,0.34,0.0,0.0,1.0,0.012857142857142857,0.0,0.0,0.07142857142857142,1.86,2.0,0.5,3.0
1,fine_multiplier=0.5_audit_probability=0.2,50,0.5,0.2,882.1894124866623,902.65959375,605.293725,1128.711875,0.5443527267902372,0.550704583579287,0.4445397450486754,0.6269477599562296,62.7413530999379,64.19392202436654,42.91218901789573,80.36334368226511,403.72573649507115,411.65591268457786,273.53954450674,547.7616402000584,13.98,14.0,14.0,14.0,1.14,1.0,0.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,6.99,7.0,7.0,7.0
2,fine_multiplier=0.5_audit_probability=0.5,50,0.5,0.5,891.4248639333965,901.8853125,601.131525,1130.9452469375,0.5412604448035064,0.543651222869679,0.44749267827864164,0.6299004100378096,63.402574344269425,64.1432497040619,42.62940247183496,80.52617951662317,402.706423804525,419.7389939902767,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.6,2.0,1.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
3,fine_multiplier=0.5_audit_probability=0.8,50,0.5,0.8,891.7426876833965,905.2375,601.131525,1130.9452469375,0.5415467427269945,0.5454169101543435,0.44749267827864164,0.6299004100378096,63.425132891736254,64.38162063726217,42.62940247183496,80.52617951662317,401.76954310305604,412.6838266064405,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.66,2.0,1.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
4,fine_multiplier=1.0_audit_probability=0.05,50,1.0,0.05,963.3321955491623,965.42064375,688.52,1270.644625,0.520660956358343,0.5269192371564704,0.4288126230648109,0.6091657136922872,68.54911206104671,68.698066696947,48.87535762162202,90.50689647458543,446.3887697604397,443.1591495125233,295.25121947384116,573.7857050171376,3.72,4.0,1.0,6.0,0.34,0.0,0.0,1.0,0.012857142857142857,0.0,0.0,0.07142857142857142,1.86,2.0,0.5,3.0
5,fine_multiplier=1.0_audit_probability=0.2,50,1.0,0.2,882.1894124866623,902.65959375,605.293725,1128.711875,0.5443527267902372,0.550704583579287,0.4445397450486754,0.6269477599562296,62.7413530999379,64.19392202436654,42.91218901789573,80.36334368226511,403.7130805092212,411.65591268457786,273.53954450674,547.192120836812,13.98,14.0,14.0,14.0,1.14,1.0,0.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,6.99,7.0,7.0,7.0
6,fine_multiplier=1.0_audit_probability=0.5,50,1.0,0.5,891.4248639333965,901.8853125,601.131525,1130.9452469375,0.5412604448035064,0.543651222869679,0.44749267827864164,0.6299004100378096,63.402574344269425,64.1432497040619,42.62940247183496,80.52617951662317,402.6754817273818,419.7389939902767,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.6,2.0,1.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
7,fine_multiplier=1.0_audit_probability=0.8,50,1.0,0.8,891.7426876833965,905.2375,601.131525,1130.9452469375,0.5415467427269945,0.5454169101543435,0.44749267827864164,0.6299004100378096,63.425132891736254,64.38162063726217,42.62940247183496,80.52617951662317,401.73860102591277,412.6838266064405,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.66,2.0,1.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
8,fine_multiplier=2.0_audit_probability=0.05,50,2.0,0.05,963.3321955491623,965.42064375,688.52,1270.644625,0.520660956358343,0.5269192371564704,0.4288126230648109,0.6091657136922872,68.54911206104671,68.698066696947,48.87535762162202,90.50689647458543,446.3887697604397,443.1591495125233,295.25121947384116,573.7857050171376,3.72,4.0,1.0,6.0,0.34,0.0,0.0,1.0,0.012857142857142857,0.0,0.0,0.07142857142857142,1.86,2.0,0.5,3.0
9,fine_multiplier=2.0_audit_probability=0.2,50,2.0,0.2,882.1894124866623,902.65959375,605.293725,1128.711875,0.5443527267902372,0.550704583579287,0.4445397450486754,0.6269477599562296,62.7413530999379,64.19392202436654,42.91218901789573,80.36334368226511,403.6969884534255,411.65591268457786,273.53954450674,546.8377409325096,13.98,14.0,14.0,14.0,1.14,1.0,0.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,6.99,7.0,7.0,7.0
10,fine_multiplier=2.0_audit_probability=0.5,50,2.0,0.5,891.4248639333965,901.8853125,601.131525,1130.9452469375,0.5412604448035064,0.543651222869679,0.44749267827864164,0.6299004100378096,63.402574344269425,64.1432497040619,42.62940247183496,80.52617951662317,402.65132962423166,419.7389939902767,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.6,2.0,1.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
11,fine_multiplier=2.0_audit_probability=0.8,50,2.0,0.8,891.7426876833965,905.2375,601.131525,1130.9452469375,0.5415467427269945,0.5454169101543435,0.44749267827864164,0.6299004100378096,63.425132891736254,64.38162063726217,42.62940247183496,80.52617951662317,401.71444892276264,412.6838266064405,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.66,2.0,1.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
12,fine_multiplier=4.0_audit_probability=0.05,50,4.0,0.05,963.3321955491623,965.42064375,688.52,1270.644625,0.520660956358343,0.5269192371564704,0.4288126230648109,0.6091657136922872,68.54911206104671,68.698066696947,48.87535762162202,90.50689647458543,446.3727911704551,443.1591495125233,295.25121947384116,573.7857050171376,3.72,4.0,1.0,6.0,0.34,0.0,0.0,1.0,0.012857142857142857,0.0,0.0,0.07142857142857142,1.86,2.0,0.5,3.0
13,fine_multiplier=4.0_audit_probability=0.2,50,4.0,0.2,882.1894124866623,902.65959375,605.293725,1128.711875,0.5443527267902372,0.550704583579287,0.4445397450486754,0.6269477599562296,62.7413530999379,64.19392202436654,42.91218901789573,80.36334368226511,403.6894545662602,411.65591268457786,273.53954450674,546.8377409325096,13.98,14.0,14.0,14.0,1.14,1.0,0.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,6.99,7.0,7.0,7.0
14,fine_multiplier=4.0_audit_probability=0.5,50,4.0,0.5,891.4248639333965,901.8853125,601.131525,1130.9452469375,0.5412604448035064,0.543651222869679,0.44749267827864164,0.6299004100378096,63.402574344269425,64.1432497040619,42.62940247183496,80.52617951662317,402.6217076862053,419.7389939902767,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.6,2.0,1.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
15,fine_multiplier=4.0_audit_probability=0.8,50,4.0,0.8,891.7426876833965,905.2375,601.131525,1130.9452469375,0.5415467427269945,0.5454169101543435,0.44749267827864164,0.6299004100378096,63.425132891736254,64.38162063726217,42.62940247183496,80.52617951662317,401.68482698473633,412.6838266064405,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.66,2.0,1.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
