cell_index,cell_label,n_seeds,override_build.wood_cost,override_build.stone_cost,override_build.income_per_house_per_step,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,3,3,0.25,154.9275,159.575,119.59,188.835,0.45523782103503874,0.4581966726362075,0.38002183539606676,0.5297502777577617,10.83863108948248,11.173349566860258,8.30331329906283,13.274723894780612,19.585131942273858,21.57597057591496,5.709554755730601,27.839342431904498,13.95,14.0,14.0,14.0,1.1,1.0,0.0,2.0,0.08571428571428572,0.07142857142857142,0.0,0.15,6.975,7.0,7.0,7.0
1,wood_cost=3_stone_cost=3_income_per_house_per_step=0.5,20,3,3,0.5,268.445,276.25,201.13,341.13,0.5053282228491511,0.49184594869947384,0.4296744242089936,0.5855233264198683,18.92197874571828,19.490171685644444,14.078754202844088,24.156225149658386,63.41987836162179,65.23730246210258,37.10273108157194,91.22466728397703,13.95,14.0,14.0,14.0,1.05,1.0,0.0,2.0,0.07857142857142857,0.07142857142857142,0.0,0.15,6.975,7.0,7.0,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,3,3,1.0,491.6,522.75,337.44,647.46,0.5513866827392372,0.5418541854880432,0.4654619337328272,0.6375792109550708,34.8385923729161,37.09139200925327,23.834737460865128,46.03350354217601,189.5722462619703,190.91398745308516,116.29678778409951,252.10955020204864,13.9,14.0,13.9,14.0,1.15,1.0,0.0,2.0,0.075,0.07142857142857142,0.0,0.15,6.95,7.0,6.95,7.0
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,3,6,0.25,29.3725,27.6,16.880000000000003,45.645,0.6502292091956801,0.6386916941579321,0.5556319388280273,0.7580712218744463,1.7729211096878743,1.6880410258338663,0.845002018896875,2.927731424204934,0.07456784192780232,3.3996147909750066e-12,1.8559177066890755e-12,3.0837476684946065e-08,13.95,14.0,14.0,14.0,0.4,0.0,0.0,1.1,0.4785714285714286,0.5,0.35,0.65,6.975,7.0,7.0,7.0
4,wood_cost=3_stone_cost=6_income_per_house_per_step=0.5,20,3,6,0.5,40.55,38.650000000000006,19.560000000000002,71.36,0.6844034607719858,0.687336068855475,0.5595479863133533,0.7803243853364087,2.5542268410425786,2.4461807886587983,1.0375311100049778,4.699228022289231,1.7501983547204463,1.3350769391249198e-08,2.1278868899670762e-12,5.38141850409946,13.85,14.0,13.0,14.0,0.4,0.0,0.0,1.1,0.5,0.5,0.35,0.65,6.925,7.0,6.5,7.0
5,wood_cost=3_stone_cost=6_income_per_house_per_step=1.0,20,3,6,1.0,64.045,64.3,20.39,124.98,0.7355950921178314,0.759449906749617,0.6403769841269841,0.8204795468746008,4.206845311083941,4.238575830948712,1.0677941017996337,8.514501905533969,6.109260653871129,0.2608200867360578,2.7392736139760214e-12,25.911949469481215,13.8,14.0,13.0,14.0,0.4,0.0,0.0,1.1,0.5392857142857143,0.5357142857142857,0.42857142857142855,0.65,6.9,7.0,6.5,7.0
6,wood_cost=3_stone_cost=12_income_per_house_per_step=0.25,20,3,12,0.25,19.150000000000002,19.1,12.050000000000002,26.94,0.7034292302458615,0.6915476382767611,0.6165019346435275,0.7973937778012433,1.0161425277342122,0.9874692415205024,0.4692713457256772,1.6384400623274757,1.1499550485664252e-09,1.996253805260524e-12,1.310891463399963e-12,2.857308239518674e-12,13.9,14.0,13.9,14.0,0.15,0.0,0.0,1.0,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.7142857142857143,6.95,7.0,6.95,7.0
7,wood_cost=3_stone_cost=12_income_per_house_per_step=0.5,20,3,12,0.5,22.525,20.1,12.050000000000002,34.91,0.7118530507831395,0.7277279451106284,0.6196669522381666,0.7973937778012433,1.2530020460370017,1.0737800456322186,0.4692713457256772,2.1879966204605337,0.0025200061254402628,2.1866322335551248e-12,1.310891463399963e-12,2.092032992135518e-08,13.9,14.0,13.9,14.0,0.2,0.0,0.0,1.0,0.575,0.5714285714285714,0.42857142857142855,0.7142857142857143,6.95,7.0,6.95,7.0
8,wood_cost=3_stone_cost=12_income_per_house_per_step=1.0,20,3,12,1.0,29.025,24.35,12.050000000000002,52.3,0.7388888668760631,0.7277706740666177,0.6467572346082495,0.8239321965455847,1.703769852276254,1.3853781087333719,0.4692713457256772,3.3306252760547688,0.06280170408606979,2.6489798451277255e-12,1.310891463399963e-12,0.09980862999082436,13.9,14.0,13.9,14.0,0.2,0.0,0.0,1.0,0.6071428571428571,0.6071428571428572,0.5,0.7142857142857143,6.95,7.0,6.95,7.0
9,wood_cost=6_stone_cost=3_income_per_house_per_step=0.25,20,6,3,0.25,29.2275,25.950000000000003,15.33,42.7,0.6739222575988882,0.6678691892166062,0.6004340395462817,0.7299549978298445,1.7507174426291272,1.4733567915089096,0.7476084459757931,2.7234162525963073,0.08793005606968,2.7196918327800056e-12,1.6677150318606995e-12,0.2173427325932839,13.9,14.0,13.9,14.0,0.25,0.0,0.0,1.0,0.4928571428571428,0.5357142857142857,0.35,0.5714285714285714,6.95,7.0,6.95,7.0
10,wood_cost=6_stone_cost=3_income_per_house_per_step=0.5,20,6,3,0.5,43.25,35.95,15.33,69.95,0.7089915656932185,0.707923551268875,0.647481937359051,0.8012220272724474,2.734789931439105,2.254432878123625,0.7476084459757931,4.640227281372653,1.1687365848454683,2.551233372129351e-08,1.6677150318606995e-12,4.6340230639773585,13.85,14.0,13.0,14.0,0.25,0.0,0.0,1.0,0.5071428571428571,0.5714285714285714,0.35,0.5714285714285714,6.925,7.0,6.5,7.0
11,wood_cost=6_stone_cost=3_income_per_house_per_step=1.0,20,6,3,1.0,61.64,47.3,18.549999999999997,122.89999999999998,0.7457816463572097,0.7517506496511094,0.6856771799628941,0.8244777911164465,4.029966319678538,2.981641879946727,0.9456709956709954,8.41863592426224,4.022300469777628,0.12600008750021663,2.018011339922764e-12,11.42597294951292,13.8,14.0,13.0,14.0,0.25,0.0,0.0,1.0,0.55,0.5714285714285714,0.42857142857142855,0.6428571428571429,6.9,7.0,6.5,7.0
12,wood_cost=6_stone_cost=6_income_per_house_per_step=0.25,20,6,6,0.25,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
13,wood_cost=6_stone_cost=6_income_per_house_per_step=0.5,20,6,6,0.5,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
14,wood_cost=6_stone_cost=6_income_per_house_per_step=1.0,20,6,6,1.0,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
15,wood_cost=6_stone_cost=12_income_per_house_per_step=0.25,20,6,12,0.25,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
16,wood_cost=6_stone_cost=12_income_per_house_per_step=0.5,20,6,12,0.5,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
17,wood_cost=6_stone_cost=12_income_per_house_per_step=1.0,20,6,12,1.0,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
18,wood_cost=12_stone_cost=3_income_per_house_per_step=0.25,20,12,3,0.25,19.6525,18.7,14.63,25.705,0.7106089661060929,0.717873962771922,0.6445251771266223,0.7817662779397472,1.0484455169469535,0.9812061309268012,0.6628960155490767,1.5041494057123368,0.018348729029261362,2.034329490919444e-12,1.5915636605428594e-12,2.2986481601224395e-09,13.9,14.0,13.9,14.0,0.05,0.0,0.0,0.0,0.575,0.5714285714285714,0.42857142857142855,0.6428571428571429,6.95,7.0,6.95,7.0
19,wood_cost=12_stone_cost=3_income_per_house_per_step=0.5,20,12,3,0.5,24.64,22.15,14.63,39.93000000000001,0.728479209248624,0.7229774734934102,0.6484688231484362,0.8153555861652546,1.395760395375688,1.2474473779237725,0.6628960155490767,2.4364988262307445,0.2145580763076581,2.600025392137685e-12,1.5915636605428594e-12,0.19894956784105466,13.9,14.0,13.9,14.0,0.05,0.0,0.0,0.0,0.5928571428571429,0.6071428571428572,0.5,0.6428571428571429,6.95,7.0,6.95,7.0
20,wood_cost=12_stone_cost=3_income_per_house_per_step=1.0,20,12,3,1.0,30.84,25.85,14.63,49.44,0.7459628705504298,0.7315069906619203,0.686405529953917,0.8244123931623932,1.8298757075819279,1.501221832642066,0.6628960155490767,3.1736536781480704,0.6119527296538239,3.160281909690366e-12,1.5915636605428594e-12,1.7685538789216573,13.9,14.0,13.9,14.0,0.05,0.0,0.0,0.0,0.5928571428571429,0.6428571428571429,0.42857142857142855,0.65,6.95,7.0,6.95,7.0
21,wood_cost=12_stone_cost=6_income_per_house_per_step=0.25,20,12,6,0.25,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
22,wood_cost=12_stone_cost=6_income_per_house_per_step=0.5,20,12,6,0.5,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
23,wood_cost=12_stone_cost=6_income_per_house_per_step=1.0,20,12,6,1.0,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
24,wood_cost=12_stone_cost=12_income_per_house_per_step=0.25,20,12,12,0.25,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
25,wood_cost=12_stone_cost=12_income_per_house_per_step=0.5,20,12,12,0.5,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
26,wood_cost=12_stone_cost=12_income_per_house_per_step=1.0,20,12,12,1.0,15.63,15.25,11.6,20.58,0.7440607647494938,0.7366824603535189,0.6726808905380334,0.8005614904189522,0.7443981890538246,0.7249953030694442,0.42679903422042975,1.0879934509014875,1.7003513338540594e-12,1.6590120179958035e-12,1.2619370104099227e-12,2.2388503167445005e-12,13.95,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.6428571428571429,0.5642857142857143,0.7142857142857143,6.975,7.0,7.0,7.0
