epoch,planner_type,n_seeds,welfare_mean,welfare_p10,welfare_p90,tax_revenue_mean
0,heuristic,20,5.970858130559104,5.227622050898267,6.580220438403861,8.4932
1,heuristic,20,6.20621500578928,4.954119047619048,7.327219938201934,9.1360744
2,heuristic,20,7.835671737796936,5.611452271984308,10.558199179246857,12.46489855575
3,heuristic,20,9.003392534840318,5.9886455864609305,12.446724505663544,15.994294897628949
4,heuristic,20,9.80816912281711,6.2390501622822425,15.112225869417044,19.135868324956636
5,heuristic,20,11.888172366909748,7.830898698444733,16.938177376356784,24.736267930547506
6,heuristic,20,13.019236791353823,8.120894132853856,19.62311890195333,29.024098431100807
7,heuristic,20,13.545926615675457,8.358901711327796,19.76309371473806,32.07561241156235
8,heuristic,20,15.302293135553663,10.597225111276407,20.235401068537413,37.70963544807389
9,heuristic,20,16.340594546022256,11.019439907323449,23.263045082307585,43.22072835347702
10,heuristic,20,16.897725697285995,11.053114227566756,24.02079421620239,47.1068335429736
11,heuristic,20,18.030781711363097,11.907351774418602,24.318898714173514,52.38099473598965
12,heuristic,20,19.133631022831935,13.241620530952828,26.097040584476986,59.13295464368215
13,heuristic,20,19.244093093465022,13.363152799500806,26.404553057899648,62.32914666046254
14,heuristic,20,20.86107602809566,14.10062824529281,27.475836594505054,70.10325615085392
15,heuristic,20,21.781208465182388,14.88549922653418,28.89955147572673,77.85844540789051
16,heuristic,20,22.723221618613653,15.478831041136067,29.406475606746703,85.95815321391488
17,heuristic,20,23.642291717862463,16.958762186769803,31.443124000891885,89.88062965788416
18,heuristic,20,24.935595973150356,17.02055091578308,33.56409566083974,100.29597565529849
19,heuristic,20,25.57407848263654,17.911152994115447,35.72304772381716,108.50303321689714
20,heuristic,20,27.31547890616146,19.479454031117395,37.89215651169749,116.95587113983497
21,heuristic,20,28.51205566505713,19.79248919571834,40.48646681023969,128.70963649709174
22,heuristic,20,28.851050281922088,19.801342261796773,39.01037879564114,135.45055794126313
23,heuristic,20,30.188220557794008,21.342448671002316,41.65202046267347,139.52800804606412
24,heuristic,20,31.01214754030225,19.968927742399686,42.17708222418689,151.07311671335478
25,heuristic,20,31.36904543028702,21.241934252593317,41.756622807278085,160.97269324766023
26,heuristic,20,33.48366607484143,21.511551394449388,42.79158361275651,171.6132067117692
27,heuristic,20,33.30565725927351,21.95014084780001,43.38277925779532,175.26301491513098
28,heuristic,20,33.94582561859107,21.330607037536428,43.529463403405046,187.34406905653
29,heuristic,20,34.8385923729161,23.834737460865128,46.03350354217601,189.5722462619703
30,heuristic,20,36.42240098345361,21.747491820732645,47.40356283787047,208.76983797198557
31,heuristic,20,35.510375986921694,22.504098367855285,46.9811731084038,208.61666382966814
32,heuristic,20,37.0042028488397,24.276984597204493,46.69527092031637,213.18868560082205
33,heuristic,20,37.71787642918712,26.894094375875543,47.87940075003598,227.40157873026283
34,heuristic,20,37.81952265519121,22.89152376989611,47.899066722843784,236.43355868428569
35,heuristic,20,38.726062951144115,21.81128582767149,49.73874256318264,235.44642444887984
36,heuristic,20,39.06662981964503,24.13690309549028,49.12630705830842,246.89057635744712
37,heuristic,20,39.262541631452635,24.00827125534641,50.122595758066865,259.5032912610314
38,heuristic,20,40.126944613063976,26.302377266012186,49.88004127876018,256.4693973562289
39,heuristic,20,40.68536824042053,25.840008773031986,50.39844196041505,270.0146349400218
0,bandit,20,5.970858130559104,5.227622050898267,6.580220438403861,8.4932
1,bandit,20,6.20621500578928,4.954119047619048,7.327219938201934,10.112300000000001
2,bandit,20,7.835671737796936,5.611452271984308,10.558199179246857,14.60473687907717
3,bandit,20,9.003392534840318,5.9886455864609305,12.446724505663544,19.143136740898157
4,bandit,20,9.80816912281711,6.2390501622822425,15.112225869417044,22.643786716842303
5,bandit,20,11.888172366909748,7.830898698444733,16.938177376356784,28.562074251649623
6,bandit,20,13.019236791353823,8.120894132853856,19.62311890195333,32.86794282866015
7,bandit,20,13.545926615675457,8.358901711327796,19.76309371473806,35.581011624067365
8,bandit,20,15.302293135553663,10.597225111276407,20.235401068537413,40.98921196305922
9,bandit,20,16.340594546022256,11.019439907323449,23.263045082307585,46.066968412958204
10,bandit,20,16.897725697285995,11.053114227566756,24.02079421620239,49.10668159859689
11,bandit,20,18.030781711363097,11.907351774418602,24.318898714173514,53.35481408961688
12,bandit,20,19.133631022831935,13.241620530952828,26.097040584476986,59.09192021528043
13,bandit,20,19.244093093465022,13.363152799500806,26.404553057899648,60.89435566526585
14,bandit,20,20.86107602809566,14.10062824529281,27.475836594505054,66.9379086934999
15,bandit,20,21.781208465182388,14.88549922653418,28.89955147572673,72.87216475637153
16,bandit,20,22.723221618613653,15.478831041136067,29.406475606746703,78.98978054688699
17,bandit,20,23.642291717862463,16.958762186769803,31.443124000891885,80.9141232637392
18,bandit,20,24.935595973150356,17.02055091578308,33.56409566083974,88.62393044390303
19,bandit,20,25.57407848263654,17.911152994115447,35.72304772381716,94.3169219040875
20,bandit,20,27.31547890616146,19.479454031117395,37.89215651169749,99.79256763872822
21,bandit,20,28.51205566505713,19.79248919571834,40.48646681023969,108.05271706111941
22,bandit,20,28.851050281922088,19.801342261796773,39.01037879564114,111.56249867447966
23,bandit,20,30.188220557794008,21.342448671002316,41.65202046267347,112.93474901068521
24,bandit,20,31.01214754030225,19.968927742399686,42.17708222418689,120.97454792978267
25,bandit,20,31.36904543028702,21.241934252593317,41.756622807278085,126.40686854539734
26,bandit,20,33.48366607484143,21.511551394449388,42.79158361275651,132.84163449452728
27,bandit,20,33.30565725927351,21.95014084780001,43.38277925779532,133.51158087457716
28,bandit,20,33.94582561859107,21.330607037536428,43.529463403405046,140.36212852645113
29,bandit,20,34.8385923729161,23.834737460865128,46.03350354217601,139.24581231834526
30,bandit,20,36.42240098345361,21.747491820732645,47.40356283787047,151.7037159856737
31,bandit,20,35.510375986921694,22.504098367855285,46.9811731084038,148.97289844910992
32,bandit,20,37.0042028488397,24.276984597204493,46.69527092031637,149.26301909768785
33,bandit,20,37.71787642918712,26.894094375875543,47.87940075003598,157.75754846085542
34,bandit,20,37.81952265519121,22.89152376989611,47.899066722843784,161.686943236906
35,bandit,20,38.726062951144115,21.81128582767149,49.73874256318264,157.6860537808368
36,bandit,20,39.06662981964503,24.13690309549028,49.12630705830842,164.461203608975
37,bandit,20,39.262541631452635,24.00827125534641,50.122595758066865,170.18037730500023
38,bandit,20,40.126944613063976,26.302377266012186,49.88004127876018,164.86865998497728
39,bandit,20,40.68536824042053,25.840008773031986,50.39844196041505,172.01476238274265
0,rl,20,5.970858130559104,5.227622050898267,6.580220438403861,8.4932
1,rl,20,6.20621500578928,4.954119047619048,7.327219938201934,10.112300000000001
2,rl,20,7.835671737796936,5.611452271984308,10.558199179246857,14.608600000000001
3,rl,20,9.003392534840318,5.9886455864609305,12.446724505663544,19.07725
4,rl,20,9.80816912281711,6.2390501622822425,15.112225869417044,22.64885
5,rl,20,11.888172366909748,7.830898698444733,16.938177376356784,28.538749999999997
6,rl,20,13.019236791353823,8.120894132853856,19.62311890195333,32.73815
7,rl,20,13.545926615675457,8.358901711327796,19.76309371473806,35.5389
8,rl,20,15.302293135553663,10.597225111276407,20.235401068537413,40.9321
9,rl,20,16.340594546022256,11.019439907323449,23.263045082307585,45.884575
10,rl,20,16.897725697285995,11.053114227566756,24.02079421620239,48.930899999999994
11,rl,20,18.030781711363097,11.907351774418602,24.318898714173514,53.084649999999996
12,rl,20,19.133631022831935,13.241620530952828,26.097040584476986,58.709174999999995
13,rl,20,19.244093093465022,13.363152799500806,26.404553057899648,60.48074999999999
14,rl,20,20.86107602809566,14.10062824529281,27.475836594505054,66.4948
15,rl,20,21.781208465182388,14.88549922653418,28.89955147572673,72.426975
16,rl,20,22.723221618613653,15.478831041136067,29.406475606746703,78.4389
17,rl,20,23.642291717862463,16.958762186769803,31.443124000891885,80.38725
18,rl,20,24.935595973150356,17.02055091578308,33.56409566083974,88.15832499999999
19,rl,20,25.57407848263654,17.911152994115447,35.72304772381716,93.7382
20,rl,20,27.31547890616146,19.479454031117395,37.89215651169749,99.2492
21,rl,20,28.51205566505713,19.79248919571834,40.48646681023969,107.586425
22,rl,20,28.851050281922088,19.801342261796773,39.01037879564114,111.4414
23,rl,20,30.188220557794008,21.342448671002316,41.65202046267347,112.78385000000002
24,rl,20,31.01214754030225,19.968927742399686,42.17708222418689,120.50355000000002
25,rl,20,31.36904543028702,21.241934252593317,41.756622807278085,126.169325
26,rl,20,33.48366607484143,21.511551394449388,42.79158361275651,132.43763930742446
27,rl,20,33.30565725927351,21.95014084780001,43.38277925779532,133.096325
28,rl,20,33.94582561859107,21.330607037536428,43.529463403405046,140.15485
29,rl,20,34.8385923729161,23.834737460865128,46.03350354217601,138.92707500000003
30,rl,20,36.42240098345361,21.747491820732645,47.40356283787047,151.43557995144616
31,rl,20,35.510375986921694,22.504098367855285,46.9811731084038,148.660875
32,rl,20,37.0042028488397,24.276984597204493,46.69527092031637,149.13703508832415
33,rl,20,37.71787642918712,26.894094375875543,47.87940075003598,157.5936513359961
34,rl,20,37.81952265519121,22.89152376989611,47.899066722843784,161.42545774925847
35,rl,20,38.726062951144115,21.81128582767149,49.73874256318264,157.630388595176
36,rl,20,39.06662981964503,24.13690309549028,49.12630705830842,163.88679628125004
37,rl,20,39.262541631452635,24.00827125534641,50.122595758066865,169.757678125
38,rl,20,40.126944613063976,26.302377266012186,49.88004127876018,164.44431625156255
39,rl,20,40.68536824042053,25.840008773031986,50.39844196041505,171.34312494798127
